         0.01   4.42065e-13 6 1.06618714901069e-05 4.71323846591182e-18 0.010300863795532 
    0.0110668   1.34267e-11 5 1.24817840474644e-05 1.67589623174084e-16 0.0114748726828308 
    0.0122474   2.33619e-10 6 1.52588887825155e-05 3.56477178612789e-15 0.0125918612384012 
     0.013554   3.64507e-09 6 1.87053763819387e-05 6.81823630529581e-14 0.0139257277133256 
        0.015   3.55724e-08 5 1.91273617639915e-05 6.8040667706968e-13 0.0152030902390854 
    0.0161185   2.23055e-07 4 1.87380627012279e-05 4.179613359153e-12 0.0163944289789033 
    0.0173205    1.0647e-06 4 2.16118297517976e-05 2.30100410397199e-11 0.0175475539984035 
    0.0186121   4.91809e-06 5 2.49687032089518e-05 1.22798295152526e-10 0.0188534990083245 
         0.02   2.48304e-05 6 3.55396824338641e-05 8.82465764250527e-10 0.0204808856338876 
    0.0221336     0.0178142 6 4.98809279652599e-05 8.88589655900894e-07 0.0232777363661673 
    0.0244949       7.49984 6 6.1079195833439e-05 0.000458084464048544 0.0252666921416101 
    0.0271081       69.3163 7 7.48304511872754e-05 0.00518697183574632 0.0274693057733309 
         0.03        76.082 5 7.6589920437116e-05 0.00582711660063084 0.0296220152824269 
    0.0322371       60.6117 3 7.49100168751417e-05 0.00454042604807537 0.0323239270657059 
     0.034641       67.6136 4 8.64530802006712e-05 0.00584540679915683 0.0348963302118592 
    0.0372242       124.401 4 9.98431100326717e-05 0.0124206121732507 0.0373458880060439 
         0.04       158.099 3 0.000101140274658185 0.0159901712009728 0.0400209279055091 
    0.0422949       169.572 4 9.99909099000678e-05 0.0169556671314547 0.0423638802207451 
    0.0447214       175.032 4 0.000111568255345704 0.0195280283990363 0.0447226499995151 
    0.0472871       168.331 3 0.000125015470912756 0.0210439453940311 0.0473802292293222 
         0.05       167.759 4 0.000125771513960104 0.0210993472140843 0.0499022780533528 
    0.0523318       178.193 4 0.000125049125386806 0.0222829358439308 0.052372094371836 
    0.0547723       154.426 4 0.000136759417475234 0.0211192480617813 0.054775105956119 
    0.0573266       168.742 3 0.000150010342580168 0.0253130742720246 0.0573966271155101 
         0.06       155.111 5 0.000216016521850477 0.0335064425683071 0.0604360410856815 
    0.0644742       149.999 6 0.000299640022938474 0.04494562472038 0.0645562425119823 
     0.069282       138.981 6 0.000345943033057163 0.0480794498968768 0.0693593881674837 
    0.0744484        129.12 6 0.000399486287869691 0.0515815675292202 0.074507677124092 
         0.08       116.649 6 0.000404414778050581 0.0471744236537127 0.0797585903195365 
    0.0845897       106.874 6 0.000399732533537747 0.0427209649029208 0.084661805826192 
    0.0894427       97.6738 6 0.000446866202391426 0.0436471343393376 0.089473125097694 
    0.0945742        165.21 6 0.00049957032365118 0.082534049377415 0.0949178164945234 
          0.1       172.367 6 0.000503492407234358 0.0867856173479735 0.0997916796923563 
     0.104664       161.958 6 0.000499790150153293 0.0809447914014435 0.104737536993572 
     0.109545       145.583 6 0.000547438846618139 0.0796976172498143 0.109569051659244 
     0.114653       129.008 6 0.000599640193603462 0.0773584246227638 0.114648863876595 
         0.12       108.827 7 0.000736191522916727 0.0801178008251735 0.120312772507129 
     0.126885       96.8805 9 0.000899285358025619 0.0871231718061528 0.126932899236513 
     0.134164       82.2309 8 0.00100556179781495 0.0826882140259688 0.134194928658608 
     0.141861       68.9848 10 0.0011241235385528 0.0775474265404308 0.141902609234224 
         0.15       57.8215 12 0.00145659758375067 0.0842226352418359 0.150609182517976 
     0.161185       46.5098 12 0.00187254014416479 0.0870915444957003 0.161240303132038 
     0.173205       37.9819 15 0.00216233638545751 0.082129567411865 0.173282176684379 
     0.186121       30.3477 14 0.00249682904871282 0.0757730204919863 0.186183657088921 
          0.2       24.1039 14 0.0025276742462051 0.0609268606387486 0.199160071346082 
     0.211474        18.915 14 0.00249798647087639 0.0472493523178364 0.211781051811022 
     0.223607       16.9275 13 0.00279301850233687 0.0472786812683989 0.223656055321221 
     0.236435       14.0535 14 0.00312254837338258 0.0438828507430224 0.236469226656218 
         0.25       11.6856 15 0.00314692308707586 0.0367735911749027 0.249383538355968 
     0.261659        9.9563 13 0.00312336406193427 0.0310971635625121 0.261678048183354 
