TEFF   5500.  GRAVITY 4.00000 LTE 
TITLE  [-1.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                   
FLUX   80    50.00        5.995850E+15   9.2177E-38   9.2179E-38   0.99998
FLUX   81    50.60        5.924753E+15   2.8471E-37   3.2474E-37   0.87672
FLUX   82    51.20        5.855322E+15   7.2644E-37   7.3540E-37   0.98782
FLUX   83    52.00        5.765240E+15   2.1002E-36   2.1206E-36   0.99034
FLUX   84    53.00        5.656462E+15   7.6016E-36   7.6017E-36   0.99998
FLUX   85    54.00        5.551713E+15   2.5786E-35   2.5932E-35   0.99435
FLUX   86    55.00        5.450773E+15   8.4460E-35   8.4462E-35   0.99998
FLUX   87    56.00        5.353437E+15   2.6315E-34   2.6315E-34   0.99998
FLUX   88    57.00        5.259517E+15   7.8616E-34   7.8618E-34   0.99998
FLUX   89    58.00        5.168836E+15   2.2327E-33   2.2572E-33   0.98918
FLUX   90    59.00        5.081229E+15   6.2397E-33   6.2402E-33   0.99992
FLUX   91    60.00        4.996542E+15   1.6644E-32   1.6645E-32   0.99991
FLUX   92    61.00        4.914631E+15   4.2913E-32   4.2914E-32   0.99998
FLUX   93    62.00        4.835363E+15   1.0711E-31   1.0712E-31   0.99993
FLUX   94    63.00        4.758611E+15   2.5927E-31   2.5927E-31   0.99997
FLUX   95    64.00        4.684258E+15   6.0977E-31   6.0978E-31   0.99998
FLUX   96    65.00        4.612192E+15   1.3947E-30   1.3947E-30   0.99998
FLUX   97    65.80        4.556117E+15   2.6520E-30   2.6521E-30   0.99998
FLUX   98    66.50        4.508158E+15   4.5907E-30   4.5913E-30   0.99988
FLUX   99    67.50        4.441370E+15   9.8458E-30   9.8469E-30   0.99989
FLUX  100    68.50        4.376533E+15   2.0623E-29   2.0623E-29   0.99998
FLUX  101    69.50        4.313561E+15   4.2224E-29   4.2224E-29   0.99998
FLUX  102    70.50        4.252376E+15   8.4556E-29   8.4594E-29   0.99955
FLUX  103    71.60        4.187046E+15   1.7737E-28   1.7737E-28   0.99998
FLUX  104    72.60        4.129373E+15   3.4053E-28   3.4053E-28   0.99998
FLUX  105    73.50        4.078809E+15   6.0276E-28   6.0278E-28   0.99997
FLUX  106    74.50        4.024060E+15   1.1174E-27   1.1175E-27   0.99991
FLUX  107    75.50        3.970762E+15   2.0356E-27   2.0358E-27   0.99989
FLUX  108    76.50        3.918856E+15   3.6466E-27   3.6467E-27   0.99998
FLUX  109    77.50        3.868290E+15   6.4268E-27   6.4274E-27   0.99990
FLUX  110    78.50        3.819013E+15   1.1154E-26   1.1154E-26   0.99998
FLUX  111    79.50        3.770975E+15   1.9041E-26   1.9069E-26   0.99852
FLUX  112    80.50        3.724130E+15   3.2121E-26   3.2135E-26   0.99955
FLUX  113    81.50        3.678436E+15   5.3407E-26   5.3412E-26   0.99992
FLUX  114    82.50        3.633848E+15   8.7610E-26   8.7612E-26   0.99997
FLUX  115    83.50        3.590329E+15   1.4190E-25   1.4191E-25   0.99998
FLUX  116    84.50        3.547840E+15   2.2702E-25   2.2703E-25   0.99998
FLUX  117    85.50        3.506345E+15   3.5890E-25   3.5890E-25   0.99998
FLUX  118    86.50        3.465809E+15   5.6088E-25   5.6089E-25   0.99998
FLUX  119    87.50        3.426200E+15   8.6669E-25   8.6690E-25   0.99976
FLUX  120    88.50        3.387486E+15   1.3257E-24   1.3257E-24   0.99998
FLUX  121    89.50        3.349637E+15   2.0066E-24   2.0066E-24   0.99998
FLUX  122    90.50        3.312624E+15   3.0069E-24   3.0070E-24   0.99997
FLUX  123    91.50        3.276421E+15   2.3833E-20   7.4610E-20   0.31943
FLUX  124    92.50        3.241000E+15   8.8618E-20   1.1330E-19   0.78217
FLUX  125    93.50        3.206337E+15   1.3005E-19   1.6998E-19   0.76508
FLUX  126    94.50        3.172407E+15   1.9597E-19   2.5253E-19   0.77603
FLUX  127    95.50        3.139188E+15   3.0362E-19   3.7284E-19   0.81435
FLUX  128    96.50        3.106658E+15   4.4939E-19   5.4105E-19   0.83060
FLUX  129    97.50        3.074795E+15   6.2141E-19   7.7343E-19   0.80345
FLUX  130    98.50        3.043579E+15   9.4790E-19   1.1331E-18   0.83658
FLUX  131    99.50        3.012990E+15   1.3630E-18   1.6144E-18   0.84430
FLUX  132   100.50        2.983010E+15   1.9800E-18   2.2797E-18   0.86853
FLUX  133   101.50        2.953621E+15   2.7522E-18   3.1673E-18   0.86895
FLUX  134   102.50        2.924805E+15   3.6114E-18   4.4972E-18   0.80303
FLUX  135   103.50        2.896546E+15   5.5240E-18   6.2206E-18   0.88801
FLUX  136   104.50        2.868828E+15   7.7641E-18   8.6063E-18   0.90215
FLUX  137   105.50        2.841635E+15   1.0448E-17   1.1817E-17   0.88411
FLUX  138   106.50        2.814953E+15   1.4529E-17   1.6128E-17   0.90085
FLUX  139   107.50        2.788767E+15   1.9806E-17   2.1889E-17   0.90483
FLUX  140   108.50        2.763064E+15   2.7094E-17   2.9537E-17   0.91729
FLUX  141   109.50        2.737831E+15   3.5887E-17   3.9623E-17   0.90572
FLUX  142   110.50        2.713054E+15   9.1105E-17   8.4023E-16   0.10843
FLUX  143   111.50        2.688722E+15   2.3625E-16   1.0890E-15   0.21693
FLUX  144   112.50        2.664822E+15   3.7326E-16   1.3766E-15   0.27114
FLUX  145   113.50        2.641344E+15   6.0378E-16   1.6966E-15   0.35588
FLUX  146   114.50        2.618275E+15   8.0581E-16   2.0394E-15   0.39511
FLUX  147   115.50        2.595606E+15   9.3780E-16   2.3760E-15   0.39470
FLUX  148   116.50        2.573326E+15   1.1594E-15   2.6531E-15   0.43702
FLUX  149   117.50        2.551426E+15   1.4406E-15   2.7867E-15   0.51695
FLUX  150   118.50        2.529894E+15   1.5923E-15   5.6480E-15   0.28192
FLUX  151   119.50        2.508724E+15   9.3570E-16   6.8671E-15   0.13626
FLUX  152   120.50        2.487905E+15   7.6083E-16   8.3127E-15   0.09153
FLUX  153   121.50        2.467428E+15   5.1025E-16   1.0024E-14   0.05090
FLUX  154   122.50        2.447286E+15   1.1269E-15   1.2094E-14   0.09318
FLUX  155   123.50        2.427470E+15   2.6376E-15   1.4491E-14   0.18201
FLUX  156   124.50        2.407972E+15   5.5594E-15   8.0224E-15   0.69299
FLUX  157   125.50        2.388785E+15   8.7892E-15   1.3265E-14   0.66260
FLUX  158   126.50        2.369901E+15   1.1441E-14   1.9113E-14   0.59857
FLUX  159   127.50        2.351314E+15   1.5510E-14   2.4977E-14   0.62097
FLUX  160   128.50        2.333016E+15   2.0960E-14   3.1921E-14   0.65662
FLUX  161   129.50        2.315000E+15   2.5956E-14   3.9448E-14   0.65799
FLUX  162   130.50        2.297261E+15   3.2187E-14   4.8206E-14   0.66770
FLUX  163   131.50        2.279791E+15   3.9897E-14   5.8108E-14   0.68659
FLUX  164   132.50        2.262585E+15   4.6643E-14   6.9521E-14   0.67092
FLUX  165   133.50        2.245637E+15   5.3933E-14   8.2560E-14   0.65326
FLUX  166   134.50        2.228940E+15   6.4666E-14   9.7510E-14   0.66317
FLUX  167   135.50        2.212491E+15   7.6487E-14   1.1509E-13   0.66461
FLUX  168   136.50        2.196282E+15   8.8383E-14   1.3616E-13   0.64909
FLUX  169   137.50        2.180309E+15   1.0038E-13   1.6046E-13   0.62554
FLUX  170   138.50        2.164567E+15   1.1499E-13   1.8845E-13   0.61020
FLUX  171   139.50        2.149050E+15   1.3252E-13   2.2057E-13   0.60081
FLUX  172   140.50        2.133754E+15   1.6000E-13   2.5742E-13   0.62154
FLUX  173   141.50        2.118675E+15   1.8808E-13   2.9955E-13   0.62788
FLUX  174   142.50        2.103807E+15   2.1283E-13   3.4770E-13   0.61211
FLUX  175   143.50        2.089146E+15   2.5188E-13   4.0253E-13   0.62574
FLUX  176   144.20        2.079005E+15   3.1678E-13   4.4538E-13   0.71125
FLUX  177   144.70        2.071821E+15   2.9531E-13   4.7856E-13   0.61708
FLUX  178   145.50        2.060430E+15   3.5024E-13   5.3591E-13   0.65354
FLUX  179   146.50        2.046365E+15   4.1930E-13   6.1615E-13   0.68051
FLUX  180   147.50        2.032492E+15   4.3504E-13   7.0686E-13   0.61546
FLUX  181   148.50        2.018805E+15   5.1642E-13   8.0918E-13   0.63820
FLUX  182   149.50        2.005301E+15   6.7600E-13   9.2444E-13   0.73126
FLUX  183   150.50        1.991977E+15   8.2057E-13   1.0540E-12   0.77856
FLUX  184   151.20        1.982755E+15   7.1085E-13   1.1540E-12   0.61601
FLUX  185   151.70        1.976220E+15   9.0670E-13   1.5307E-12   0.59235
FLUX  186   152.50        1.965852E+15   1.3458E-12   4.1809E-12   0.32190
FLUX  187   153.50        1.953046E+15   3.1059E-12   1.1415E-11   0.27208
FLUX  188   154.50        1.940405E+15   2.8737E-12   1.2949E-11   0.22193
FLUX  189   155.50        1.927926E+15   4.1052E-12   1.4651E-11   0.28019
FLUX  190   156.50        1.915607E+15   4.0558E-12   1.6553E-11   0.24502
FLUX  191   157.50        1.903444E+15   6.0307E-12   2.0181E-11   0.29883
FLUX  192   158.50        1.891435E+15   7.2022E-12   2.2796E-11   0.31594
FLUX  193   159.50        1.879577E+15   8.2100E-12   2.5716E-11   0.31926
FLUX  194   160.50        1.867866E+15   9.2632E-12   2.8935E-11   0.32014
FLUX  195   161.50        1.856300E+15   1.1479E-11   3.2448E-11   0.35377
FLUX  196   162.50        1.844877E+15   1.3703E-11   3.7083E-11   0.36951
FLUX  197   163.50        1.833593E+15   1.6942E-11   4.1443E-11   0.40880
FLUX  198   164.50        1.822447E+15   2.4244E-11   4.6209E-11   0.52465
FLUX  199   165.50        1.811435E+15   1.7593E-11   5.1436E-11   0.34205
FLUX  200   166.50        1.800556E+15   3.0590E-11   5.7173E-11   0.53505
FLUX  201   167.20        1.793017E+15   2.4583E-11   6.1499E-11   0.39973
FLUX  202   167.70        1.787671E+15   3.4292E-11   9.9475E-11   0.34473
FLUX  203   168.50        1.779184E+15   5.1094E-11   6.5552E-10   0.07794
FLUX  204   169.50        1.768687E+15   6.9081E-11   8.2301E-10   0.08394
FLUX  205   170.50        1.758314E+15   8.4311E-11   1.0288E-09   0.08195
FLUX  206   171.50        1.748061E+15   8.6997E-11   2.1804E-09   0.03990
FLUX  207   172.50        1.737928E+15   1.1609E-10   2.6581E-09   0.04367
FLUX  208   173.50        1.727911E+15   1.5614E-10   3.1417E-09   0.04970
FLUX  209   174.50        1.718009E+15   2.3459E-10   3.6905E-09   0.06357
FLUX  210   175.50        1.708219E+15   4.0374E-10   4.2176E-09   0.09573
FLUX  211   176.50        1.698541E+15   3.4585E-10   4.7615E-09   0.07263
FLUX  212   177.50        1.688972E+15   5.0102E-10   5.3186E-09   0.09420
FLUX  213   178.50        1.679510E+15   7.8253E-10   5.8828E-09   0.13302
FLUX  214   179.50        1.670153E+15   1.1366E-09   6.4585E-09   0.17598
FLUX  215   180.50        1.660900E+15   1.0277E-09   7.0488E-09   0.14580
FLUX  216   181.50        1.651749E+15   8.8822E-10   7.6501E-09   0.11611
FLUX  217   182.50        1.642699E+15   1.0955E-09   8.2658E-09   0.13253
FLUX  218   183.50        1.633747E+15   1.4385E-09   8.8479E-09   0.16259
FLUX  219   184.50        1.624892E+15   6.0537E-10   9.4347E-09   0.06416
FLUX  220   185.50        1.616132E+15   1.5718E-09   1.0016E-08   0.15693
FLUX  221   186.50        1.607466E+15   2.4174E-09   1.0525E-08   0.22969
FLUX  222   187.50        1.598893E+15   2.5569E-09   1.1909E-08   0.21469
FLUX  223   188.50        1.590411E+15   2.8470E-09   1.2324E-08   0.23101
FLUX  224   189.50        1.582018E+15   3.7111E-09   1.2662E-08   0.29308
FLUX  225   190.50        1.573714E+15   3.3496E-09   1.2925E-08   0.25917
FLUX  226   191.50        1.565496E+15   4.1293E-09   1.3195E-08   0.31295
FLUX  227   192.50        1.557364E+15   3.4489E-09   1.3429E-08   0.25682
FLUX  228   193.50        1.549315E+15   1.5399E-09   1.3605E-08   0.11319
FLUX  229   194.50        1.541350E+15   5.1384E-09   1.3914E-08   0.36929
FLUX  230   195.50        1.533465E+15   5.5133E-09   1.4241E-08   0.38715
FLUX  231   196.70        1.524110E+15   7.6464E-09   1.4590E-08   0.52407
FLUX  232   197.60        1.517168E+15   6.6151E-09   1.6958E-08   0.39010
FLUX  233   198.40        1.511051E+15   6.6027E-09   1.7587E-08   0.37543
FLUX  234   199.50        1.502719E+15   8.1692E-09   1.9541E-08   0.41806
FLUX  235   200.50        1.495224E+15   8.0391E-09   2.0878E-08   0.38504
FLUX  236   201.50        1.487804E+15   9.9274E-09   2.2672E-08   0.43788
FLUX  237   202.50        1.480457E+15   6.7175E-09   2.4468E-08   0.27454
FLUX  238   203.50        1.473182E+15   1.2511E-08   2.6425E-08   0.47344
FLUX  239   204.50        1.465978E+15   1.5965E-08   2.8891E-08   0.55261
FLUX  240   205.50        1.458844E+15   1.5206E-08   3.1246E-08   0.48666
FLUX  241   206.50        1.451780E+15   1.5345E-08   3.3483E-08   0.45829
FLUX  242   207.40        1.445480E+15   1.8050E-08   3.5453E-08   0.50912
FLUX  243   207.80        1.442697E+15   2.6941E-08   1.0296E-07   0.26168
FLUX  244   208.50        1.437854E+15   2.6206E-08   1.0874E-07   0.24101
FLUX  245   209.50        1.430990E+15   3.3277E-08   1.1692E-07   0.28461
FLUX  246   210.50        1.424192E+15   4.1659E-08   1.2440E-07   0.33487
FLUX  247   211.50        1.417459E+15   5.3875E-08   1.3087E-07   0.41167
FLUX  248   212.50        1.410788E+15   4.3357E-08   1.3735E-07   0.31566
FLUX  249   213.50        1.404180E+15   4.3969E-08   1.4386E-07   0.30564
FLUX  250   214.50        1.397634E+15   6.2461E-08   1.4981E-07   0.41692
FLUX  251   215.50        1.391148E+15   6.2517E-08   1.5563E-07   0.40171
FLUX  252   216.50        1.384723E+15   5.2784E-08   1.6154E-07   0.32676
FLUX  253   217.50        1.378356E+15   5.6151E-08   1.6751E-07   0.33520
FLUX  254   218.50        1.372048E+15   7.6538E-08   1.7404E-07   0.43978
FLUX  255   219.50        1.365797E+15   8.0960E-08   1.8068E-07   0.44807
FLUX  256   220.50        1.359603E+15   7.6650E-08   1.8745E-07   0.40890
FLUX  257   221.50        1.353465E+15   5.6014E-08   1.9441E-07   0.28812
FLUX  258   222.50        1.347382E+15   7.7306E-08   2.0318E-07   0.38048
FLUX  259   223.50        1.341353E+15   1.0540E-07   2.1088E-07   0.49978
FLUX  260   224.50        1.335379E+15   1.0030E-07   2.1868E-07   0.45868
FLUX  261   225.50        1.329457E+15   7.2572E-08   2.3457E-07   0.30939
FLUX  262   226.50        1.323587E+15   6.5246E-08   2.4236E-07   0.26921
FLUX  263   227.50        1.317769E+15   7.3504E-08   2.5018E-07   0.29381
FLUX  264   228.50        1.312002E+15   1.0220E-07   2.5797E-07   0.39617
FLUX  265   229.50        1.306285E+15   8.1072E-08   2.6578E-07   0.30504
FLUX  266   230.50        1.300618E+15   1.0740E-07   2.7337E-07   0.39285
