TEFF   5000.  GRAVITY 4.00000 LTE 
TITLE  [-0.5] VTURB=2  L/H=1.25 NOVER NEW ODF                                   
FLUX    1     9.09        3.298047E+16   1.7695-214   1.7695-214   0.99998
FLUX    2     9.35        3.206337E+16   1.4338-208   1.4338-208   0.99998
FLUX    3     9.61        3.119589E+16   5.5456-203   5.5458-203   0.99998
FLUX    4     9.77        3.068500E+16   1.0810-199   1.0810-199   0.99998
FLUX    5     9.96        3.009965E+16   6.3480-196   6.3481-196   0.99998
FLUX    6    10.20        2.939142E+16   2.2953-191   2.2953-191   0.99998
FLUX    7    10.38        2.888174E+16   4.3696-188   4.3696-188   0.99998
FLUX    8    10.56        2.838944E+16   6.4192-185   6.4194-185   0.99998
FLUX    9    10.77        2.783589E+16   2.3303-181   2.3303-181   0.99998
FLUX   10    11.04        2.715512E+16   5.5507-177   5.5508-177   0.99998
FLUX   11    11.40        2.629759E+16   1.7994-171   1.7994-171   0.99998
FLUX   12    11.78        2.544928E+16   5.0617-166   5.0618-166   0.99998
FLUX   13    12.13        2.471496E+16   2.6234-161   2.6234-161   0.99998
FLUX   14    12.48        2.402184E+16   7.3548-157   7.3549-157   0.99998
FLUX   15    12.71        2.358714E+16   4.5188-154   4.5189-154   0.99998
FLUX   16    12.84        2.334833E+16   1.5370-152   1.5370-152   0.99998
FLUX   17    13.05        2.297260E+16   3.9433-150   3.9433-150   0.99998
FLUX   18    13.24        2.264294E+16   5.1167-148   5.1168-148   0.99998
FLUX   19    13.39        2.238928E+16   2.1608-146   2.1609-146   0.99998
FLUX   20    13.66        2.194674E+16   1.4791-143   1.4791-143   0.99998
FLUX   21    13.98        2.144439E+16   2.4405-140   2.4406-140   0.99998
FLUX   22    14.33        2.092062E+16   5.4953-137   5.4954-137   0.99998
FLUX   23    14.72        2.036634E+16   1.9329-133   1.9329-133   0.99998
FLUX   24    15.10        1.985381E+16   3.6620-130   3.6621-130   0.99998
FLUX   25    15.52        1.931653E+16   9.9473-127   9.9475-127   0.99998
FLUX   26    15.88        1.887862E+16   6.2317-124   6.2318-124   0.99998
FLUX   27    16.20        1.850571E+16   1.4975-121   1.4975-121   0.99998
FLUX   28    16.60        1.805979E+16   1.0493-118   1.0493-118   0.99998
FLUX   29    17.03        1.760379E+16   8.4951-116   8.4953-116   0.99998
FLUX   30    17.34        1.728907E+16   8.6132-114   8.6133-114   0.99998
FLUX   31    17.68        1.695659E+16   1.1311-111   1.1311-111   0.99998
FLUX   32    18.02        1.663665E+16   1.2331-109   1.2331-109   0.99998
FLUX   33    18.17        1.649931E+16   9.2327-109   9.2329-109   0.99998
FLUX   34    18.61        1.610921E+16   2.8057-106   2.8058-106   0.99998
FLUX   35    19.10        1.569594E+16   1.1923-103   1.1923-103   0.99998
FLUX   36    19.39        1.546119E+16   3.6957-102   3.6958-102   0.99998
FLUX   37    19.84        1.511051E+16   6.2311-100   6.2312-100   0.99998
FLUX   38    20.18        1.485592E+16   2.5772E-98   2.5773E-98   0.99998
FLUX   39    20.50        1.462402E+16   7.6491E-97   7.6492E-97   0.99998
FLUX   40    21.05        1.424192E+16   2.0255E-94   2.0256E-94   0.99998
FLUX   41    21.62        1.386644E+16   4.8515E-92   4.8516E-92   0.99998
FLUX   42    21.98        1.363933E+16   1.3310E-90   1.3310E-90   0.99998
FLUX   43    22.30        1.344361E+16   2.3029E-89   2.3030E-89   0.99998
FLUX   44    22.68        1.321836E+16   6.1235E-88   6.1236E-88   0.99998
FLUX   45    23.00        1.303446E+16   8.9164E-87   8.9166E-87   0.99998
FLUX   46    23.40        1.281165E+16   2.2789E-85   2.2790E-85   0.99998
FLUX   47    24.00        1.249135E+16   2.3979E-83   2.3979E-83   0.99998
FLUX   48    24.65        1.216197E+16   2.8702E-81   2.8702E-81   0.99998
FLUX   49    25.24        1.187767E+16   1.7788E-79   1.7788E-79   0.99998
FLUX   50    25.68        1.167416E+16   3.4058E-78   3.4059E-78   0.99998
FLUX   51    26.00        1.153048E+16   2.7350E-77   2.7350E-77   0.99998
FLUX   52    26.40        1.135578E+16   3.4395E-76   3.4395E-76   0.99998
FLUX   53    26.85        1.116546E+16   5.4073E-75   5.4074E-75   0.99998
FLUX   54    27.35        1.096133E+16   1.0358E-73   1.0358E-73   0.99998
FLUX   55    27.85        1.076454E+16   1.7835E-72   1.7836E-72   0.99998
FLUX   56    28.40        1.055607E+16   3.6252E-71   3.6252E-71   0.99998
FLUX   57    29.00        1.033767E+16   8.4799E-70   8.4800E-70   0.99998
FLUX   58    29.60        1.012812E+16   1.7385E-68   1.7385E-68   0.99998
FLUX   59    30.10        9.959883E+15   1.9642E-67   1.9644E-67   0.99992
FLUX   60    30.80        9.733523E+15   5.1126E-66   5.1127E-66   0.99998
FLUX   61    31.80        9.427437E+15   4.1692E-64   4.1693E-64   0.99998
FLUX   62    32.80        9.140015E+15   2.5844E-62   2.5844E-62   0.99998
FLUX   63    33.80        8.869601E+15   1.2467E-60   1.2467E-60   0.99998
FLUX   64    34.80        8.614727E+15   4.7897E-59   4.7898E-59   0.99998
FLUX   65    35.70        8.397549E+15   1.0670E-57   1.0670E-57   0.99998
FLUX   66    36.60        8.191052E+15   2.0359E-56   2.0359E-56   0.99998
FLUX   67    37.50        7.994467E+15   3.3561E-55   3.3561E-55   0.99998
FLUX   68    38.50        7.786818E+15   6.4518E-54   6.4519E-54   0.99998
FLUX   69    39.50        7.589683E+15   1.0627E-52   1.0628E-52   0.99998
FLUX   70    40.50        7.402284E+15   1.5186E-51   1.5187E-51   0.99998
FLUX   71    41.40        7.241364E+15   1.4861E-50   1.4861E-50   0.99998
FLUX   72    42.20        7.104087E+15   1.0371E-49   1.0371E-49   0.99998
FLUX   73    43.00        6.971919E+15   6.7188E-49   6.7189E-49   0.99998
FLUX   74    44.10        6.798016E+15   7.8254E-48   7.8256E-48   0.99998
FLUX   75    45.10        6.647284E+15   6.5462E-47   6.5463E-47   0.99998
FLUX   76    46.00        6.517228E+15   4.0821E-46   4.0822E-46   0.99998
FLUX   77    47.00        6.378564E+15   2.8665E-45   2.8665E-45   0.99998
FLUX   78    48.00        6.245677E+15   1.8498E-44   1.8498E-44   0.99998
FLUX   79    49.00        6.118214E+15   1.1039E-43   1.1039E-43   0.99998
FLUX   80    50.00        5.995850E+15   6.1119E-43   6.1120E-43   0.99998
FLUX   81    50.60        5.924753E+15   2.2014E-42   2.5046E-42   0.87893
FLUX   82    51.20        5.855322E+15   6.4974E-42   6.5733E-42   0.98845
FLUX   83    52.00        5.765240E+15   2.2743E-41   2.2953E-41   0.99082
FLUX   84    53.00        5.656462E+15   1.0367E-40   1.0367E-40   0.99998
FLUX   85    54.00        5.551713E+15   4.3941E-40   4.4180E-40   0.99458
FLUX   86    55.00        5.450773E+15   1.7831E-39   1.7831E-39   0.99998
FLUX   87    56.00        5.353437E+15   6.8318E-39   6.8319E-39   0.99998
FLUX   88    57.00        5.259517E+15   2.4918E-38   2.4918E-38   0.99998
FLUX   89    58.00        5.168836E+15   8.5826E-38   8.6748E-38   0.98937
FLUX   90    59.00        5.081229E+15   2.8885E-37   2.8889E-37   0.99987
FLUX   91    60.00        4.996542E+15   9.2237E-37   9.2249E-37   0.99987
