         0.01   1.86395e-15 6 1.06618714901069e-05 1.98732154509095e-20 0.0103322788020846 
    0.0110668   9.96119e-14 5 1.24817840474644e-05 1.24333456707235e-18 0.0115157439686651 
    0.0122474   2.59013e-12 6 1.52588887825155e-05 3.95224447028018e-17 0.0126218446517559 
     0.013554   5.73242e-11 6 1.87053763819387e-05 1.07227045259973e-15 0.0139568065800486 
        0.015   7.13722e-10 5 1.91273617639915e-05 1.36516099504992e-14 0.0152303186045805 
    0.0161185   5.52378e-09 4 1.87380627012279e-05 1.0350496347333e-13 0.0164195011189397 
    0.0173205   3.03178e-08 4 2.16118297517976e-05 6.55223993864697e-13 0.0175647906497389 
    0.0186121   1.61577e-07 5 2.49687032089518e-05 4.03436242683031e-12 0.0188718991530894 
         0.02   9.39028e-07 6 3.55396824338641e-05 3.33727721070204e-11 0.0205008141804478 
    0.0221336     0.0010035 6 4.98809279652599e-05 5.00554155607342e-08 0.0232214827533766 
    0.0244949     0.0197906 6 6.1079195833439e-05 1.20879686813104e-06 0.0250381807962882 
    0.0271081      0.291629 7 7.48304511872754e-05 2.18227353679266e-05 0.0276544709006518 
         0.03       2.46092 5 7.6589920437116e-05 0.000188481416905161 0.0304398941149864 
    0.0322371       3.08291 3 7.49100168751417e-05 0.000230941040740397 0.0320870154522191 
     0.034641       5.36613 4 8.64530802006712e-05 0.000463918099997433 0.0352988740697759 
    0.0372242       26.9315 4 9.98431100326717e-05 0.00268892191830352 0.037539114160249 
         0.04       79.0281 3 0.000101140274658185 0.00799292091602419 0.0402569893694041 
    0.0422949       98.6559 4 9.99909099000678e-05 0.009864693970238 0.0423659398170165 
    0.0447214       107.705 4 0.000111568255345704 0.0120164212685276 0.0447023360801485 
    0.0472871       104.902 3 0.000125015470912756 0.0131143597857266 0.0474240089413863 
         0.05       117.089 4 0.000125771513960104 0.01472640910923 0.0499769646055548 
    0.0523318       136.471 4 0.000125049125386806 0.0170655852857879 0.0523255352396381 
    0.0547723       98.6096 4 0.000136759417475234 0.0134857885247984 0.0547596751640524 
    0.0573266        147.24 3 0.000150010342580168 0.0220875733375512 0.0574620307324031 
         0.06       119.526 5 0.000216016521850477 0.0258196437189258 0.0603887295499671 
    0.0644742        129.62 6 0.000299640022938474 0.0388394797071257 0.0645769464866185 
     0.069282       126.803 6 0.000345943033057163 0.043866755664258 0.0693556579334841 
    0.0744484       123.314 6 0.000399486287869691 0.0492621915987858 0.0744318035902281 
         0.08       107.604 6 0.000404414778050581 0.0435165101236695 0.0798233994255854 
    0.0845897       99.0716 6 0.000399732533537747 0.0396021586107985 0.0846771403787729 
    0.0894427       92.3199 6 0.000446866202391426 0.0412546260912698 0.0894317104620341 
    0.0945742       148.867 6 0.00049957032365118 0.0743697773217779 0.0949090557962144 
          0.1       140.492 6 0.000503492407234358 0.0707364789994384 0.099776272298945 
     0.104664       143.964 6 0.000499790150153293 0.0719519689938267 0.104751194070721 
     0.109545       129.341 6 0.000547438846618139 0.0708065147131687 0.109570909170948 
     0.114653       114.155 6 0.000599640193603462 0.0684521945381197 0.114608589003202 
         0.12       89.6075 7 0.000736191522916727 0.0659682911577625 0.120308312606102 
     0.126885       84.0457 9 0.000899285358025619 0.0755810274918544 0.127018047773871 
     0.134164       74.6078 8 0.00100556179781495 0.0750227263948257 0.134168459948972 
     0.141861       61.3075 10 0.0011241235385528 0.0689172133425998 0.141931965119538 
         0.15        51.007 12 0.00145659758375067 0.0742967304266113 0.150484009018221 
     0.161185       42.0525 12 0.00187254014416479 0.078744998552169 0.161346453311835 
     0.173205       36.6953 15 0.00216233638545751 0.0793475046239153 0.173294871222 
     0.186121       29.8942 14 0.00249682904871282 0.074640600268728 0.186238229998557 
          0.2       24.5513 14 0.0025276742462051 0.0620576506821996 0.199174807078607 
     0.211474       19.1632 14 0.00249798647087639 0.0478693927584664 0.211815258662638 
     0.223607       17.3478 13 0.00279301850233687 0.0484526225570232 0.223649006735622 
     0.236435       14.1286 14 0.00312254837338258 0.0441173729465723 0.236435328175546 
         0.25       11.6426 15 0.00314692308707586 0.0366382990458325 0.249385407248578 
     0.261659       10.0508 13 0.00312336406193427 0.0313922367848905 0.261678906486003 
     0.273861       8.57428 13 0.00342148777546342 0.0293367876587098 0.273877578936413 
     0.286633       7.29839 13 0.00374822583826753 0.0273560038714226 0.286663937212872 
          0.3       6.17453 7 0.00410552576188512 0.0253497089653568 0.29996979036641 
     0.313991       5.25835 9 0.00449792338954018 0.0236516514867148 0.314028540034385 
     0.328634       4.45946 8 0.00492713758140304 0.0219723582493642 0.328649421959994 
     0.343959       3.78171 9 0.00539724144502778 0.0204107846334099 0.343985051518755 
         0.36        3.0968 11 0.0062315403166951 0.0192978432980943 0.360197743135973 
     0.378521       2.58819 10 0.00719571463664601 0.0186238687502952 0.378820948080727 
     0.397995       2.29652 11 0.00795490255464937 0.0182685977222597 0.3980630879901 
     0.418471       1.92413 12 0.00879420364923584 0.0169211787914865 0.418557257691339 
         0.44       1.58122 12 0.0103117819652346 0.0163051929063007 0.440678195547069 
     0.465243       1.29378 14 0.012090617883819 0.0156425524191531 0.465308454651079 
     0.491935       1.05461 15 0.0135178722000817 0.0142560489741401 0.491996073409264 
     0.520158       0.86077 16 0.0151128246466378 0.0130086614820339 0.520163801777228 
         0.55      0.692202 17 0.0176407467603308 0.0122109677075026 0.550654455234202 
      0.58418      0.524781 18 0.0206066447762673 0.0108139778748765 0.584378990624496 
     0.620484      0.439164 20 0.0232470525581663 0.0102092647872824 0.62051756082109 
