         0.01   4.99616e-43 6 1.06618714901069e-05 5.32684100774362e-48 0.00998281551989304 
    0.0110668   4.04467e-43 5 1.24817840474644e-05 5.04847482647539e-48 0.0110951085931565 
    0.0122474   3.31464e-43 6 1.52588887825155e-05 5.05777511427875e-48 0.0122561777768572 
     0.013554   2.70108e-43 6 1.87053763819387e-05 5.05246559490274e-48 0.0135779441191329 
        0.015   2.24194e-43 5 1.91273617639915e-05 4.28823573777681e-48 0.0149049052085242 
    0.0161185    1.9123e-43 4 1.87380627012279e-05 3.5832756549576e-48 0.0161400482039256 
    0.0173205   1.65988e-43 4 2.16118297517976e-05 3.58730845596226e-48 0.0173241130585505 
    0.0186121   1.43591e-43 5 2.49687032089518e-05 3.58529317126268e-48 0.0186264349809097 
         0.02   1.22444e-43 6 3.55396824338641e-05 4.35160395017916e-48 0.0201690468669848 
    0.0221336   1.01287e-43 6 4.98809279652599e-05 5.05230549196971e-48 0.022173392530832 
    0.0244949   8.27373e-44 6 6.1079195833439e-05 5.05352635966667e-48 0.024532964327924 
    0.0271081   1.60724e-32 7 7.48304511872754e-05 1.20270264242568e-36 0.0289999999999923 
         0.03   5.27462e-29 5 7.6589920437116e-05 4.03983065867228e-33 0.0314631914530934 
    0.0322371   7.50356e-27 3 7.49100168751417e-05 5.62091905276243e-31 0.0335055400238899 
     0.034641   7.60691e-25 4 8.64530802006712e-05 6.57641228622361e-29 0.0359413141451414 
    0.0372242   5.85859e-23 4 9.98431100326717e-05 5.84939450855423e-27 0.0384982966515761 
         0.04      2.44e-21 3 0.000101140274658185 2.467823574883e-25 0.0408443813685267 
    0.0422949   6.42562e-20 4 9.99909099000678e-05 6.42503120543822e-24 0.0433726766079981 
    0.0447214   9.03203e-19 4 0.000111568255345704 1.00768828569096e-22 0.0454464404483476 
    0.0472871   1.56417e-17 3 0.000125015470912756 1.95545964852136e-21 0.0481872571264218 
         0.05    1.5675e-16 4 0.000125771513960104 1.97146399960187e-20 0.0504597636599979 
    0.0523318   1.42703e-15 4 0.000125049125386806 1.7844927248092e-19 0.0530312273070264 
    0.0547723   8.75796e-15 4 0.000136759417475234 1.19773321469542e-18 0.0553453546328845 
    0.0573266   5.56533e-14 3 0.000150010342580168 8.34857680334623e-18 0.0579667029595199 
         0.06   4.23829e-13 5 0.000216016521850477 9.15539823287127e-17 0.0612847385070191 
    0.0644742    4.5513e-12 6 0.000299640022938474 1.363752432846e-15 0.0656291071626817 
     0.069282   4.64382e-11 6 0.000345943033057163 1.60649615736375e-14 0.0704343438789985 
    0.0744484   3.95022e-10 6 0.000399486287869691 1.5780598863813e-13 0.0755679568605648 
         0.08   2.45833e-09 6 0.000404414778050581 9.94183828556275e-13 0.0805731295443058 
    0.0845897   1.11327e-08 6 0.000399732533537747 4.45009185724272e-12 0.0853291991237616 
    0.0894427   4.72742e-07 6 0.000446866202391426 2.11252612543983e-10 0.0920238229775704 
    0.0945742   1.44776e-05 6 0.00049957032365118 7.2325571099626e-09 0.0954444612454946 
          0.1   3.94678e-05 6 0.000503492407234358 1.9871755590295e-08 0.10018899549749 
     0.104664   8.49928e-05 6 0.000499790150153293 4.24785635828169e-08 0.105123575001512 
     0.109545   0.000328289 6 0.000547438846618139 1.79718414371355e-07 0.110804020983668 
     0.114653    0.00178159 6 0.000599640193603462 1.06831340809389e-06 0.115031219455983 
         0.12    0.00109733 7 0.000736191522916727 8.07841410590229e-07 0.119885639261842 
     0.126885      0.127492 9 0.000899285358025619 0.000114651452055567 0.128675618612774 
     0.134164      0.471576 8 0.00100556179781495 0.000474198621415732 0.134671242196088 
     0.141861      0.630519 10 0.0011241235385528 0.000708781626748097 0.142347973610128 
         0.15      0.829164 12 0.00145659758375067 0.00120775860780429 0.151018697992286 
     0.161185        1.0535 12 0.00187254014416479 0.00197272450172385 0.161581684105705 
     0.173205       1.16045 15 0.00216233638545751 0.00250927331197421 0.173638791435627 
     0.186121       1.15465 14 0.00249682904871282 0.00288295294149403 0.186340894861234 
          0.2       1.12509 14 0.0025276742462051 0.00284386945311317 0.199337757705312 
     0.211474        1.0322 14 0.00249798647087639 0.00257841151020902 0.211516002653516 
     0.223607      0.907817 13 0.00279301850233687 0.00253554900517893 0.223735522641905 
     0.236435       0.75316 14 0.00312254837338258 0.00235177794828205 0.236489688896925 
         0.25      0.736126 15 0.00314692308707586 0.0023165323057614 0.249446236203457 
     0.261659       0.77205 13 0.00312336406193427 0.00241139461347512 0.26196406899282 
     0.273861      0.734381 13 0.00342148777546342 0.00251267517794668 0.273832791051561 
     0.286633      0.757219 13 0.00374822583826753 0.00283822775888162 0.286924318577556 
          0.3      0.780645 7 0.00410552576188512 0.00320495733362263 0.300197160489548 
     0.313991      0.755367 9 0.00449792338954018 0.00339758370419159 0.314161936294759 
     0.328634      0.728987 8 0.00492713758140304 0.00359181924534212 0.328844720651396 
     0.343959      0.703522 9 0.00539724144502778 0.00379707649997383 0.344166990264506 
         0.36      0.679114 11 0.0062315403166951 0.00423192881750749 0.3605984972366 
     0.378521       1.07346 10 0.00719571463664601 0.00772434416958755 0.380387351187342 
     0.397995        1.6028 11 0.00795490255464937 0.0127501148726 0.398694286097183 
     0.418471       1.54469 12 0.00879420364923584 0.0135843391322894 0.419131956507013 
         0.44       1.32932 12 0.0103117819652346 0.0137076839788135 0.441278097027547 
     0.465243       1.23728 14 0.012090617883819 0.0149594403906908 0.46538559548504 
     0.491935      0.984169 15 0.0135178722000817 0.0133038662281928 0.492452540773048 
