         0.01   1.46338e-27 6 1.06618714901069e-05 1.56024031861188e-32 0.0104263227395899 
    0.0110668   1.24496e-24 5 1.24817840474644e-05 1.55393326182147e-29 0.0116568657588669 
    0.0122474    2.6912e-22 6 1.52588887825155e-05 4.10647885630855e-27 0.0127494344240846 
     0.013554   5.43045e-20 6 1.87053763819387e-05 1.01578650444454e-24 0.0141128732852794 
        0.015   3.89981e-18 5 1.91273617639915e-05 7.45930196250036e-23 0.0153886147818544 
    0.0161185   1.17494e-16 4 1.87380627012279e-05 2.20160077672851e-21 0.0165809002450365 
    0.0173205   2.04654e-15 4 2.16118297517976e-05 4.42293811948206e-20 0.0176846305868509 
    0.0186121   3.44548e-14 5 2.49687032089518e-05 8.60291612493797e-19 0.018993093471681 
         0.02   7.03348e-13 6 3.55396824338641e-05 2.49967602036589e-17 0.0206810977363693 
    0.0221336   5.51139e-10 6 4.98809279652599e-05 2.74913334580982e-14 0.0231936307218777 
    0.0244949   1.90544e-08 6 6.1079195833439e-05 1.16382469516098e-12 0.0251441957582616 
    0.0271081   3.35832e-07 7 7.48304511872754e-05 2.51304341154652e-11 0.0278876210069615 
         0.03   3.61188e-06 5 7.6589920437116e-05 2.76633480509008e-10 0.0305871851295804 
    0.0322371   2.02928e-05 3 7.49100168751417e-05 1.52013405647352e-09 0.0327906763945526 
     0.034641   0.000163028 4 8.64530802006712e-05 1.40942825213665e-08 0.035601415669609 
    0.0372242    0.00115765 4 9.98431100326717e-05 1.15583763230012e-07 0.0377610518144403 
         0.04    0.00538442 3 0.000101140274658185 5.44581547214652e-07 0.0402819832711412 
    0.0422949     0.0136701 4 9.99909099000678e-05 1.36688148848718e-06 0.0426469682315505 
    0.0447214     0.0240473 4 0.000111568255345704 2.68291182465066e-06 0.0448574764697236 
    0.0472871     0.0431635 3 0.000125015470912756 5.39611033657004e-06 0.0475882824976918 
         0.05      0.250525 4 0.000125771513960104 3.15089268162531e-05 0.0508206468728044 
    0.0523318        1.4098 4 0.000125049125386806 0.000176293792976785 0.0523960812635848 
    0.0547723       1.78539 4 0.000136759417475234 0.000244169156245391 0.0549727780887777 
    0.0573266       2.45862 3 0.000150010342580168 0.000368818868167078 0.0574107862056739 
         0.06       2.70681 5 0.000216016521850477 0.000584715005506277 0.0605994228643794 
    0.0644742       2.77666 6 0.000299640022938474 0.00083199823277658 0.0645411075373265 
     0.069282       3.88947 6 0.000345943033057163 0.00134553630494169 0.0695980769089209 
    0.0744484       5.17396 6 0.000399486287869691 0.00206692499727308 0.0746587111006314 
         0.08        6.0508 6 0.000404414778050581 0.00244703274411969 0.0798058567035086 
    0.0845897       5.94276 6 0.000399732533537747 0.00237551385882086 0.0847533075411358 
    0.0894427       8.72557 6 0.000446866202391426 0.00389916014209173 0.0901670957708936 
    0.0945742       68.8352 6 0.00049957032365118 0.034388041023077 0.0949599276000469 
