TEFF  24000.  GRAVITY 4.00000 LTE 
TITLE  [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                    
FLUX   69    39.50        7.589684E+15   9.8082E-12   1.0213E-11   0.96041
FLUX   70    40.50        7.402284E+15   1.6412E-11   1.7228E-11   0.95264
FLUX   71    41.40        7.241365E+15   2.6079E-11   2.7104E-11   0.96217
FLUX   72    42.20        7.104088E+15   3.8019E-11   4.1105E-11   0.92491
FLUX   73    43.00        6.971919E+15   5.6401E-11   5.9319E-11   0.95080
FLUX   74    44.10        6.798016E+15   9.2019E-11   9.6106E-11   0.95747
FLUX   75    45.10        6.647284E+15   1.3889E-10   1.4633E-10   0.94920
FLUX   76    46.00        6.517228E+15   1.9738E-10   2.0963E-10   0.94160
FLUX   77    47.00        6.378564E+15   2.9497E-10   3.0750E-10   0.95925
FLUX   78    48.00        6.245677E+15   4.2699E-10   4.4347E-10   0.96284
FLUX   79    49.00        6.118214E+15   6.1638E-10   6.3060E-10   0.97744
FLUX   80    50.00        5.995850E+15   8.6820E-10   8.8238E-10   0.98393
FLUX   81    50.60        5.924753E+15   5.2529E-09   1.1253E-08   0.46680
FLUX   82    51.20        5.855322E+15   3.9767E-08   6.3057E-08   0.63065
FLUX   83    52.00        5.765240E+15   4.7879E-08   7.3615E-08   0.65039
FLUX   84    53.00        5.656462E+15   6.0725E-08   8.8922E-08   0.68291
FLUX   85    54.00        5.551713E+15   6.9409E-08   1.0687E-07   0.64947
FLUX   86    55.00        5.450773E+15   1.0254E-07   1.2784E-07   0.80207
FLUX   87    56.00        5.353438E+15   1.2523E-07   1.5213E-07   0.82318
FLUX   88    57.00        5.259518E+15   1.5806E-07   1.8011E-07   0.87760
FLUX   89    58.00        5.168836E+15   1.6032E-07   2.1649E-07   0.74053
FLUX   90    59.00        5.081229E+15   2.1808E-07   2.5348E-07   0.86036
FLUX   91    60.00        4.996542E+15   2.5755E-07   2.9540E-07   0.87185
FLUX   92    61.00        4.914631E+15   3.1531E-07   3.4271E-07   0.92003
FLUX   93    62.00        4.835363E+15   3.5981E-07   3.9586E-07   0.90895
FLUX   94    63.00        4.758611E+15   4.0308E-07   4.5531E-07   0.88529
FLUX   95    64.00        4.684258E+15   3.9803E-07   5.2173E-07   0.76290
FLUX   96    65.00        4.612192E+15   3.1897E-07   5.9548E-07   0.53564
FLUX   97    65.80        4.556117E+15   4.9809E-07   6.6011E-07   0.75455
FLUX   98    66.50        4.508158E+15   6.1856E-07   7.2093E-07   0.85800
FLUX   99    67.50        4.441370E+15   6.8965E-07   8.1513E-07   0.84606
FLUX  100    68.50        4.376533E+15   7.4832E-07   9.1840E-07   0.81481
FLUX  101    69.50        4.313561E+15   9.7146E-07   1.0313E-06   0.94200
FLUX  102    70.50        4.252376E+15   1.0368E-06   1.1542E-06   0.89825
FLUX  103    71.60        4.187046E+15   1.2099E-06   1.3017E-06   0.92945
FLUX  104    72.60        4.129373E+15   1.3092E-06   1.4476E-06   0.90436
FLUX  105    73.50        4.078810E+15   1.4058E-06   1.5890E-06   0.88472
FLUX  106    74.50        4.024060E+15   1.6437E-06   1.7576E-06   0.93519
FLUX  107    75.50        3.970762E+15   1.8187E-06   1.9388E-06   0.93807
FLUX  108    76.50        3.918856E+15   2.0204E-06   2.1334E-06   0.94702
FLUX  109    77.50        3.868290E+15   2.2373E-06   2.3411E-06   0.95566
FLUX  110    78.50        3.819013E+15   2.4702E-06   2.5627E-06   0.96390
FLUX  111    79.50        3.770975E+15   2.6491E-06   2.7986E-06   0.94657
FLUX  112    80.50        3.724130E+15   2.8501E-06   3.0492E-06   0.93470
FLUX  113    81.50        3.678436E+15   3.0394E-06   3.3149E-06   0.91688
FLUX  114    82.50        3.633848E+15   3.3999E-06   3.5962E-06   0.94542
FLUX  115    83.50        3.590329E+15   3.2434E-06   3.8935E-06   0.83304
FLUX  116    84.50        3.547840E+15   3.7691E-06   4.2069E-06   0.89594
FLUX  117    85.50        3.506345E+15   3.9963E-06   4.5367E-06   0.88087
FLUX  118    86.50        3.465809E+15   4.3807E-06   4.8829E-06   0.89714
FLUX  119    87.50        3.426200E+15   4.7996E-06   5.2460E-06   0.91491
FLUX  120    88.50        3.387486E+15   5.3126E-06   5.6262E-06   0.94426
FLUX  121    89.50        3.349637E+15   5.7080E-06   6.0238E-06   0.94758
FLUX  122    90.50        3.312624E+15   5.8240E-06   6.4387E-06   0.90453
