         0.01   6.84613e-28 6 1.06618714901069e-05 7.29925622956264e-33 0.0104326684184647 
    0.0110668   7.94784e-25 5 1.24817840474644e-05 9.92032092588927e-30 0.0116676576358061 
    0.0122474   2.23397e-22 6 1.52588887825155e-05 3.40878984376551e-27 0.012761778574921 
     0.013554   5.93908e-20 6 1.87053763819387e-05 1.11092658523466e-24 0.0141267470075871 
        0.015   5.21394e-18 5 1.91273617639915e-05 9.97289104475702e-23 0.0154034355325025 
    0.0161185   1.81154e-16 4 1.87380627012279e-05 3.39446732818005e-21 0.0165955732634145 
    0.0173205   3.47644e-15 4 2.16118297517976e-05 7.5132334656253e-20 0.0176930890808662 
    0.0186121   6.37263e-14 5 2.49687032089518e-05 1.5911622364318e-18 0.0190002171341595 
         0.02   1.39817e-12 6 3.55396824338641e-05 4.96905643864499e-17 0.0206889987079212 
    0.0221336   7.75785e-09 6 4.98809279652599e-05 3.86968641372764e-13 0.0232239092446746 
    0.0244949   2.61381e-07 6 6.1079195833439e-05 1.59649474006214e-11 0.0250947039184803 
    0.0271081   3.03218e-06 7 7.48304511872754e-05 2.26899254339839e-10 0.0277874773476483 
         0.03   2.05478e-05 5 7.6589920437116e-05 1.573757698572e-09 0.0304239622715147 
    0.0322371   9.23252e-05 3 7.49100168751417e-05 6.91608335719303e-09 0.0327575814613902 
     0.034641   0.000342527 4 8.64530802006712e-05 2.96125160257212e-08 0.0351628713197827 
    0.0372242    0.00115781 4 9.98431100326717e-05 1.15599123138816e-07 0.0376337444153869 
         0.04    0.00304109 3 0.000101140274658185 3.07576615014291e-07 0.0401816239325518 
    0.0422949    0.00645698 4 9.99909099000678e-05 6.45639161262651e-07 0.0426178856249819 
    0.0447214      0.012089 4 0.000111568255345704 1.34874732627683e-06 0.0449145606131407 
    0.0472871     0.0227339 3 0.000125015470912756 2.84209219093936e-06 0.0475770219433305 
         0.05      0.165553 4 0.000125771513960104 2.0821903531355e-05 0.050788897561029 
    0.0523318      0.832368 4 0.000125049125386806 0.000104086889734037 0.0524393548266832 
    0.0547723      0.964423 4 0.000136759417475234 0.000131893880608901 0.0548758292821837 
    0.0573266       1.18926 3 0.000150010342580168 0.000178400781350664 0.0574335473111004 
         0.06       1.42673 5 0.000216016521850477 0.000308196882505821 0.060569928581071 
    0.0644742       1.75384 6 0.000299640022938474 0.000525520332157905 0.0646852923227205 
     0.069282       2.16381 6 0.000345943033057163 0.000748555005516855 0.0695248655183291 
    0.0744484       2.70276 6 0.000399486287869691 0.00107971619959818 0.0746849408892655 
         0.08       3.23009 6 0.000404414778050581 0.00130629658840506 0.0798520425326967 
    0.0845897       3.59014 6 0.000399732533537747 0.00143509565555277 0.0847577086641117 
    0.0894427       5.67697 6 0.000446866202391426 0.00253684617156761 0.0903556084652446 
    0.0945742       76.5695 6 0.00049957032365118 0.0382518451476122 0.0951943618738393 
          0.1       96.3007 6 0.000503492407234358 0.0484866953320775 0.099868397333451 
     0.104664        97.702 6 0.000499790150153293 0.0488304792400432 0.104829555500057 
     0.109545       92.7939 6 0.000547438846618139 0.0507989914605883 0.109580417182508 
     0.114653       81.8193 6 0.000599640193603462 0.0490621392228948 0.114644197644768 
         0.12       65.9643 7 0.000736191522916727 0.0485623784860756 0.12031298029411 
     0.126885       65.7922 9 0.000899285358025619 0.0591659244283243 0.126926918600039 
     0.134164       57.5735 8 0.00100556179781495 0.0578937524313568 0.134221623657129 
     0.141861       47.6693 10 0.0011241235385528 0.0535862160040535 0.14193805676749 
         0.15       39.6927 12 0.00145659758375067 0.0578163252501416 0.150545964609105 
     0.161185       32.3499 12 0.00187254014416479 0.0605764197865071 0.161307549850403 
     0.173205       27.2704 15 0.00216233638545751 0.0589677144723234 0.173283932315028 
     0.186121        21.675 14 0.00249682904871282 0.054118654868423 0.186124625982095 
          0.2       17.7944 14 0.0025276742462051 0.0449783815886737 0.199272323837928 
     0.211474        14.966 14 0.00249798647087639 0.0373849682007202 0.211626002517741 
     0.223607       12.9955 13 0.00279301850233687 0.0362967943429739 0.223654097313883 
     0.236435       10.8926 14 0.00312254837338258 0.0340127479563356 0.236483689791364 
         0.25       9.11309 15 0.00314692308707586 0.0286781822554702 0.249394178893646 
     0.261659       7.86678 13 0.00312336406193427 0.0245708141431904 0.26168877786244 
     0.273861       6.76031 13 0.00342148777546342 0.023130334384065 0.2738908790541 
     0.286633       5.82194 13 0.00374822583826753 0.0218219578660007 0.286679238854211 
          0.3       5.00225 7 0.00410552576188512 0.0205368853407556 0.300011623736534 
     0.313991       4.28977 9 0.00449792338954018 0.0192950486892977 0.314033371917006 
     0.328634       3.68315 8 0.00492713758140304 0.0181473681766021 0.328672079401984 
     0.343959       3.15019 9 0.00539724144502778 0.0170023607410909 0.34398042804294 
         0.36       2.68953 11 0.0062315403166951 0.0167599418670575 0.360417658753457 
     0.378521        2.3803 10 0.00719571463664601 0.0171279240341901 0.378863290898923 
     0.397995        2.2075 11 0.00795490255464937 0.0175604478072692 0.398124132978321 
     0.418471       1.88078 12 0.00879420364923584 0.0165399426953119 0.418621709566393 
         0.44        1.5571 12 0.0103117819652346 0.0160564477195895 0.440749784143759 
     0.465243       1.30205 14 0.012090617883819 0.0157426413373114 0.465275715807357 
     0.491935       1.04933 15 0.0135178722000817 0.0141847729493364 0.492036831382922 
     0.520158      0.868437 16 0.0151128246466378 0.0131245402862615 0.520181474302869 
         0.55       0.70385 17 0.0176407467603308 0.0124164311305399 0.550662906336411 
      0.58418      0.564092 18 0.0206066447762673 0.0116240465663406 0.5842335826535 
     0.620484      0.451663 20 0.0232470525581663 0.0104998350488981 0.620529050557405 
     0.659044      0.357741 21 0.0262260953470199 0.00938215693901889 0.659098392936282 
          0.7       0.29084 20 0.0264618832320159 0.00769617548339415 0.697979808296772 
     0.734815       0.23976 19 0.0262343140602596 0.00628993431637966 0.734843196259182 
     0.771362        0.1998 19 0.028909336781675 0.00577609304268365 0.77140071897195 
     0.809727      0.166111 21 0.0318563828545383 0.00529171032137119 0.809747246906183 
         0.85      0.138497 20 0.0320481901627819 0.00443858748712212 0.848307829021651 
     0.885246      0.118485 19 0.0318618455862336 0.00377514791141108 0.885264646457022 
     0.921954      0.103543 20 0.0345586802615109 0.00357829645865759 0.921991255660508 
     0.960185     0.0887561 20 0.0374849632601845 0.00332701738202174 0.960277347300175 
            1     0.0764617 317 0.0376461367621117 0.00287848947104072 0.998502450678117 
      1.03556     0.0671578 725 0.0374885604737304 0.00251764777310157 1.03557587853657 
      1.07238     0.0584629 750 0.0402020020570234 0.0023503236802936 1.07233188348063 
