TEFF   4500.  GRAVITY 4.00000 LTE 
TITLE  [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                    
FLUX    1     9.09        3.298047E+16   2.5000E-39   2.5000E-39   1.00000
FLUX    2     9.35        3.206337E+16   1.3146-242   1.3146-242   0.99998
FLUX    3     9.61        3.119589E+16   4.2898-236   4.2899-236   0.99998
FLUX    4     9.77        3.068500E+16   2.9366-232   2.9366-232   0.99998
FLUX    5     9.96        3.009965E+16   7.2745-228   7.2747-228   0.99998
FLUX    6    10.20        2.939142E+16   1.5014-222   1.5014-222   0.99998
FLUX    7    10.38        2.888174E+16   1.0013-218   1.0013-218   0.99998
FLUX    8    10.56        2.838944E+16   4.9385-215   4.9386-215   0.99998
FLUX    9    10.77        2.783589E+16   6.9987-211   6.9988-211   0.99998
FLUX   10    11.04        2.715512E+16   8.9023-206   8.9025-206   0.99998
FLUX   11    11.40        2.629759E+16   2.3819-199   2.3820-199   0.99998
FLUX   12    11.78        2.544928E+16   5.4090-193   5.4091-193   0.99998
FLUX   13    12.13        2.471496E+16   1.7100-187   1.7101-187   0.99998
FLUX   14    12.48        2.402184E+16   2.6433-182   2.6434-182   0.99998
FLUX   15    12.71        2.358714E+16   4.7390-179   4.7391-179   0.99998
FLUX   16    12.84        2.334833E+16   2.9031-177   2.9031-177   0.99998
FLUX   17    13.05        2.297260E+16   1.8798-174   1.8799-174   0.99998
FLUX   18    13.24        2.264294E+16   5.4966-172   5.4967-172   0.99998
FLUX   19    13.39        2.238928E+16   4.3374-170   4.3375-170   0.99998
FLUX   20    13.66        2.194674E+16   8.8379-167   8.8381-167   0.99998
FLUX   21    13.98        2.144439E+16   5.0318-163   5.0319-163   0.99998
FLUX   22    14.33        2.092062E+16   4.1224-159   4.1224-159   0.99998
FLUX   23    14.72        2.036634E+16   5.6898-155   5.6899-155   0.99998
FLUX   24    15.10        1.985381E+16   3.8171-151   3.8172-151   0.99998
FLUX   25    15.52        1.931653E+16   3.9040-147   3.9041-147   0.99998
FLUX   26    15.88        1.887862E+16   7.2078-144   7.2079-144   0.99998
FLUX   27    16.20        1.850571E+16   4.3486-141   4.3487-141   0.99998
FLUX   28    16.60        1.805979E+16   9.1635-138   9.1636-138   0.99998
FLUX   29    17.03        1.760379E+16   2.2878-134   2.2878-134   0.99998
FLUX   30    17.34        1.728907E+16   5.0468-132   5.0469-132   0.99998
